Frame Time, x, y
55.222,201,31
55.264,199,31
55.305,198,32
55.347,199,32
55.389,200,32
55.430,197,32
55.472,198,32
55.514,199,32
55.555,198,31
55.597,199,31
55.639,199,32
55.681,198,32
55.722,198,31
55.764,200,31
55.806,200,31
55.847,199,31
55.889,200,31
55.931,200,31
55.973,200,31
56.014,201,31
56.056,200,31
56.098,199,31
56.139,200,31
56.181,197,31
56.223,198,31
56.265,198,31
56.306,199,31
56.348,199,31
56.390,197,32
56.431,195,32
56.473,197,31
56.515,196,32
56.556,197,31
56.598,198,31
56.640,197,31
56.682,196,32
56.723,198,31
56.765,196,32
56.807,195,32
56.848,197,32
56.890,196,31
56.932,196,32
56.974,195,32
57.015,197,31
57.057,195,32
57.099,199,31
57.140,197,31
57.182,196,32
57.224,196,31
57.266,196,31
57.307,197,31
57.349,198,31
57.391,196,32
57.432,194,32
57.474,195,32
57.516,193,32
57.558,195,32
57.599,195,32
57.641,195,32
57.683,195,32
57.724,197,32
57.766,195,32
57.808,195,32
57.849,195,32
57.891,195,32
57.933,196,31
57.975,195,32
58.016,196,32
58.058,195,32
58.100,195,32
58.141,197,31
58.183,197,32
58.225,196,31
58.267,196,31
58.308,196,31
58.350,195,32
58.392,195,32
58.433,196,32
58.475,198,32
58.517,195,32
58.558,196,32
58.600,196,32
58.642,196,32
58.684,196,32
58.725,195,32
58.767,196,32
58.809,196,32
58.850,196,32
58.892,196,32
58.934,200,31
58.976,195,32
59.017,196,32
59.059,199,31
59.101,197,31
59.142,199,31
59.184,199,31
59.226,196,32
59.268,197,31
59.309,197,31
59.351,198,31
59.393,196,31
59.434,197,31
59.476,196,32
59.518,197,32
59.559,196,31
59.601,198,31
59.643,198,31
59.685,197,31
59.726,198,31
59.768,195,31
59.810,196,31
59.851,196,31
59.893,195,32
59.935,197,31
59.977,197,31
60.018,199,31
60.060,198,31
60.102,197,31
60.143,198,31
60.185,199,31
60.227,199,31
60.269,197,31
60.310,196,31
60.352,197,31
60.394,197,31
60.435,197,31
60.477,197,31
60.519,197,31
60.561,197,31
60.602,195,29
60.644,196,30
60.686,197,30
60.727,195,29
60.769,193,27
60.811,193,28
60.852,195,28
60.894,193,27
60.936,194,25
60.978,191,26
61.019,192,26
61.061,194,25
61.103,193,23
61.144,193,24
61.186,194,24
61.228,192,23
61.270,192,22
61.311,193,22
61.353,193,23
61.395,194,22
61.436,192,22
61.478,193,22
61.520,191,22
61.561,191,22
61.603,192,21
61.645,193,21
61.687,193,21
61.728,192,22
61.770,191,22
61.812,193,22
61.853,192,21
61.895,190,22
61.937,192,22
61.979,191,22
62.020,191,22
62.062,191,22
62.104,190,22
62.145,191,22
62.187,192,21
62.229,191,21
62.271,191,22
62.312,190,22
62.354,190,22
62.396,190,22
62.437,190,22
62.479,191,21
62.521,191,22
62.562,191,21
62.604,191,21
62.646,190,22
62.688,190,22
62.729,192,21
62.771,190,21
62.813,190,21
62.854,194,22
62.896,195,21
62.938,191,21
62.980,192,21
63.021,195,21
63.063,193,21
63.105,192,21
63.146,191,21
63.188,193,21
63.230,192,21
63.272,194,22
63.313,192,21
63.355,192,22
63.397,193,21
63.438,195,23
63.480,195,23
63.522,193,23
63.564,195,23
63.605,194,24
63.647,195,23
63.689,195,23
63.730,194,23
63.772,194,24
63.814,191,24
63.855,194,24
63.897,191,24
63.939,194,25
63.981,194,24
64.022,194,24
64.064,188,25
64.106,190,25
64.147,191,25
64.189,189,25
64.231,191,26
64.273,193,26
64.314,190,26
64.356,190,25
64.398,190,26
64.439,190,26
64.481,190,26
64.523,193,26
64.565,190,26
64.606,195,26
64.648,190,27
64.690,191,26
64.731,191,26
64.773,196,27
64.815,194,27
64.856,193,27
64.898,191,27
64.940,192,27
64.982,195,27
65.023,191,27
65.065,196,27
65.107,192,28
65.148,191,27
65.190,192,27
65.232,192,27
65.274,198,27
65.315,195,28
65.357,192,28
65.399,195,28
65.440,194,28
65.482,196,28
65.524,198,28
65.566,193,28
65.607,199,28
65.649,196,28
65.691,194,28
65.732,198,28
65.774,197,28
65.816,195,28
65.857,195,28
65.899,196,28
65.941,197,29
65.983,195,29
66.024,196,29
66.066,195,29
66.108,195,29
66.149,196,29
66.191,196,29
66.233,194,29
66.275,199,29
66.316,198,29
66.358,198,29
66.400,195,29
66.441,194,30
66.483,194,29
66.525,196,29
66.566,193,29
66.608,194,30
66.650,198,29
66.692,199,29
66.733,198,29
66.775,195,30
66.817,195,30
66.858,194,30
66.900,197,30
66.942,195,30
66.984,198,30
67.025,198,30
67.067,197,30
67.109,200,30
67.150,198,30
67.192,198,30
67.234,199,30
67.276,198,30
67.317,197,30
67.359,199,30
67.401,198,30
67.442,198,31
67.484,196,30
67.526,200,30
67.568,196,30
67.609,199,31
67.651,197,31
67.693,199,31
67.734,198,31
67.776,201,30
67.818,201,31
67.859,200,31
67.901,202,31
67.943,194,32
67.985,201,31
68.026,200,31
68.068,196,31
68.110,200,31
68.151,200,31
68.193,199,31
68.235,200,31
68.277,201,31
68.318,200,31
68.360,201,31
68.402,202,31
68.443,200,31
68.485,201,31
68.527,201,31
68.569,201,31
68.610,202,31
68.652,203,31
68.694,203,31
68.735,202,31
68.777,201,31
68.819,202,31
68.860,202,31
68.902,203,31
68.944,200,31
68.986,200,31
69.027,201,31
69.069,201,31
69.111,199,31
69.152,201,31
69.194,202,31
69.236,201,31
69.278,197,31
69.319,195,31
69.361,194,31
69.403,196,31
69.444,195,31
69.486,200,31
69.528,197,31
69.569,200,31
69.611,200,31
69.653,196,31
69.695,196,31
69.736,196,31
69.778,198,31
69.820,197,31
69.861,198,31
69.903,197,31
69.945,197,31
69.987,196,31
70.028,199,31
70.070,197,31
70.112,196,32
70.153,195,32
70.195,196,31
70.237,196,32
70.279,195,31
70.320,198,31
70.362,194,32
70.404,195,31
70.445,195,31
70.487,196,31
70.529,196,31
70.571,196,31
70.612,196,31
70.654,196,31
70.696,195,32
70.737,196,31
70.779,197,31
70.821,196,31
70.862,196,31
70.904,196,31
70.946,198,31
70.988,196,31
71.029,196,31
71.071,199,31
71.113,199,31
71.154,201,31
71.196,197,31
71.238,198,31
71.280,200,31
71.321,200,31
71.363,199,31
71.405,199,31
71.446,199,31
71.488,199,31
71.530,198,31
71.572,200,31
71.613,199,31
71.655,198,31
71.697,199,31
71.738,199,31
71.780,198,31
71.822,198,31
71.863,198,31
71.905,198,31
71.947,197,31
71.989,198,31
72.030,198,31
72.072,198,31
72.114,198,31
72.155,200,31
72.197,197,31
72.239,197,31
72.281,199,31
72.322,198,31
72.364,200,31
72.406,198,31
72.447,199,31
72.489,200,31
72.531,200,31
72.572,201,31
72.614,200,31
72.656,200,31
